Author,Text
"
    Bob Marley
  ","
      “He’s not perfect. You aren’t either, and the two of you will never be perfect. But if he can make you laugh at least once, causes you to think twice, and if he admits to being human and making mistakes, hold onto him and give him the most you can. He isn’t going to quote poetry, he’s not thinking about you every moment, but he will give you a part of him that he knows you could break. Don’t hurt him, don’t change him, and don’t expect for more than he can give. Don’t analyze. Smile when he makes you happy, yell when he makes you mad, and miss him when he’s not there. Love hard when there is love to be had. Because perfect guys don’t exist, but there’s always one guy that is perfect for you.”
  "
"
    John Green,
  ","
      “When adults say, ""Teenagers think they are invincible"" with that sly, stupid smile on their faces, they don't know how right they are. We need never be hopeless, because we can never be irreparably broken. We think that we are invincible because we are. We cannot be born, and we cannot die. Like all energy, we can only change shapes and sizes and manifestations. They forget that when they get old. They get scared of losing and failing. But that part of us greater than the sum of our parts cannot begin and cannot end, and so it cannot fail.”
  "
"
    Cassandra Clare,
  ","
      “Only the very weak-minded refuse to be influenced by literature and poetry.”
  "
"
    Cassandra Clare
  ","
      “Jesus!"" Luke exclaimed."
"
    Nicholas Sparks,
  ","
      “I finally understood what true love meant...love meant that you care for another person's happiness more than your own, no matter how painful the choices you face might be.”
  "
"
    John Green,
  ","
      “Thomas Edison's last words were """
"
    John Green,
  ","
      “Oh, I wouldn't mind, Hazel Grace. It would be a privilege to have my heart broken by you.”
  "
"
    J.K. Rowling,
  ","
      “Just because you have the emotional range of a teaspoon doesn't mean we all have.”
  "
"
    Oscar Wilde,
  ","
      “Yes: I am a dreamer. For a dreamer is one who can only find his way by moonlight, and his punishment is that he sees the dawn before the rest of the world.”
  "
"
    Markus Herz
  ","
      “Be careful about reading health books. Some fine day you'll die of a misprint.”
  "
"
    Ralph Waldo Emerson,
  ","
      “It is one of the blessings of old friends that you can afford to be stupid with them.”
  "
"
    J.K. Rowling,
  ","
      “Numbing the pain for a while will make it worse when you finally feel it.”
  "
"
    Edgar Allan Poe
  ","
      “I became insane, with long intervals of horrible sanity.”
  "
"
    Henri Nouwen,
  ","
      “When we honestly ask ourselves which person in our lives mean the most to us, we often find that it is those who, instead of giving advice, solutions, or cures, have chosen rather to share our pain and touch our wounds with a warm and tender hand. The friend who can be silent with us in a moment of despair or confusion, who can stay with us in an hour of grief and bereavement, who can tolerate not knowing, not curing, not healing and face with us the reality of our powerlessness, that is a friend who cares.”
  "
"
    Chuck Palahniuk,
  ","
      “The one you love and the one who loves you are never, ever the same person.”
  "
"
    Terry Johnson,
  ","
      “Have you ever noticed how ‘What the hell’ is always the right decision to make?”
  "
"
    Socrates
  ","
      “The only true wisdom is in knowing you know nothing.”
  "
"
    John Green,
  ","
      “Some people don't understand the promises they're making when they make them,"" I said."
"
    Mahatma Gandhi
  ","
      “An eye for an eye will only make the whole world blind.”
  "
"
    Nicholas Sparks,
  ","
      “You can't live your life for other people. You've got to do what's right for you, even if it hurts some people you love.”
  "
"
    Marilyn Monroe
  ","
      “If you're gonna be two-faced at least make one of them pretty.”
  "
"
    John Green,
  ","
      “So I walked back to my room and collapsed on the bottom bunk, thinking that if people were rain, I was drizzle and she was a hurricane.”
  "
"
    Oscar Wilde
  ","
      “You can never be overdressed or overeducated.”
  "
"
    Roald Dahl
  ","
      “Those who don't believe in magic will never find it.”
  "
"
    Charles W. Eliot
  ","
      “Books are the quietest and most constant of friends; they are the most accessible and wisest of counselors, and the most patient of teachers.”
  "
"
    Helen Keller
  ","
      “I would rather walk with a friend in the dark, than alone in the light.”
  "
"
    Cassandra Clare,
  ","
      “Is this the part where you start tearing off strips of your shirt to bind my wounds?"""
"
    George Orwell,
  ","
      “Perhaps one did not want to be loved so much as to be understood.”
  "
"
    Albert Einstein
  ","
      “I speak to everyone in the same way, whether he is the garbage man or the president of the university.”
  "
"
    C.E.M. Joad
  ","
      “Creativity is knowing how to hide your sources”
  "
"
    Joe Klaas,
  ","
      “The truth will set you free, but first it will piss you off.”
  "
"
    Harper Lee,
  ","
      “Until I feared I would lose it, I never loved to read. One does not love breathing.”
  "
"
    William Styron,
  ","
      “A great book should leave you with many experiences, and slightly exhausted at the end. You live several lives while reading.”
  "
"
    Lemony Snicket
  ","
      “Fate is like a strange, unpopular restaurant filled with odd little waiters who bring you things you never asked for and don't always like.”
  "
"
    Sarah Dessen,
  ","
      “Life is an awful, ugly place to not have a best friend.”
  "
"
    Suzanne Collins,
  ","
      “I wish I could freeze this moment, right here, right now and live in it forever.”
  "
"
    Rita Mae Brown
  ","
      “The statistics on sanity are that one out of every four people is suffering from a mental illness. Look at your 3 best friends. If they're ok, then it's you.”
  "
"
    Victor hugo
  ","
      “Music expresses that which cannot be put into words and that which cannot remain silent”
  "
"
    Charles Bukowski,
  ","
      “Do you hate people?”"
"
    Cassandra Clare,
  ","
      “I don't want to be a man,"" said Jace. ""I want to be an angst-ridden teenager who can't confront his own inner demons and takes it out verbally on other people instead."""
"
    Stephen King
  ","
      “If you don't have time to read, you don't have the time (or the tools) to write. Simple as that.”
  "
"
    Frederick Lewis Donaldson
  ","
      “The Seven Social Sins are:"
"
    C.S. Lewis
  ","
      “A children's story that can only be enjoyed by children is not a good children's story in the slightest.”
  "
"
    Mark Twain
  ","
      “Keep away from people who try to belittle your ambitions. Small people always do that, but the really great make you feel that you, too, can become great.”
  "
"
    Mahatma Gandhi
  ","
      “Happiness is when what you think, what you say, and what you do are in harmony.”
  "
